PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2022/12/01,13:30,USD,Initial Jobless Claims,225000.0,235000.0,241000.0,USD-Initial Jobless Claims
2022/12/01,14:45,USD,S&P Global US Manufacturing PMI ,47.7,47.6,47.6,USD-S&P Global US Manufacturing PMI 
2022/12/01,15:00,USD,ISM Manufacturing PMI ,49.0,49.8,50.2,USD-ISM Manufacturing PMI 
2022/12/01,15:00,USD,ISM Manufacturing Prices ,43.0,47.5,46.6,USD-ISM Manufacturing Prices 
2022/12/02,12:30,USD,Unemployment Rate ,0.037,0.037,0.037,USD-Unemployment Rate 
2022/12/02,13:30,USD,Average Hourly Earnings (MoM) ,0.006,0.003,0.005,USD-Average Hourly Earnings (MoM) 
2022/12/02,13:30,USD,Nonfarm Payrolls ,263000.0,200000.0,284000.0,USD-Nonfarm Payrolls 
2022/12/05,14:45,USD,S&P Global Services PMI ,46.2,46.1,47.8,USD-S&P Global Services PMI 
2022/12/05,15:00,USD,ISM Non-Manufacturing PMI ,56.5,53.3,54.4,USD-ISM Non-Manufacturing PMI 
2022/12/05,15:00,USD,ISM Non-Manufacturing Prices ,70.0,,70.7,USD-ISM Non-Manufacturing Prices 
2022/12/07,15:30,USD,Crude Oil Inventories,-5187000.0,-3305000.0,-12580000.0,USD-Crude Oil Inventories
2022/12/08,13:30,USD,Initial Jobless Claims,230000.0,230000.0,226000.0,USD-Initial Jobless Claims
2022/12/09,13:30,USD,PPI (MoM) ,0.003,0.002,0.003,USD-PPI (MoM) 
2022/12/12,18:00,USD,10-Year Note Auction,0.036,,0.041,USD-10-Year Note Auction
2022/12/13,7:00,EUR,German CPI (MoM) ,-0.005,-0.005,0.009,EUR-German CPI (MoM) 
2022/12/13,13:30,USD,Core CPI (MoM) ,0.002,0.003,0.003,USD-Core CPI (MoM) 
2022/12/13,13:30,USD,CPI (YoY) ,0.071,0.073,0.078,USD-CPI (YoY) 
2022/12/13,13:30,USD,CPI (MoM) ,0.001,0.003,0.005,USD-CPI (MoM) 
2022/12/13,18:00,USD,30-Year Bond Auction,0.035,,0.041,USD-30-Year Bond Auction
2022/12/14,15:30,USD,Crude Oil Inventories,10231000.0,-3595000.0,-5187000.0,USD-Crude Oil Inventories
2022/12/14,19:00,USD,FOMC Economic Projections  ,,,,USD-FOMC Economic Projections  
2022/12/14,19:00,USD,FOMC Statement  ,,,,USD-FOMC Statement  
2022/12/14,19:00,USD,Fed Interest Rate Decision,0.045,0.045,0.04,USD-Fed Interest Rate Decision
2022/12/14,19:30,USD,FOMC Press Conference  ,,,,USD-FOMC Press Conference  
2022/12/15,13:15,EUR,Deposit Facility Rate ,0.02,0.02,0.015,EUR-Deposit Facility Rate 
2022/12/15,13:15,EUR,ECB Interest Rate Decision ,0.025,0.025,0.02,EUR-ECB Interest Rate Decision 
2022/12/15,13:30,USD,Core Retail Sales (MoM) ,-0.002,0.002,0.012,USD-Core Retail Sales (MoM) 
2022/12/15,13:30,USD,Initial Jobless Claims,211000.0,230000.0,231000.0,USD-Initial Jobless Claims
2022/12/15,13:30,USD,Philadelphia Fed Manufacturing Index ,-13.8,-10.0,-19.4,USD-Philadelphia Fed Manufacturing Index 
2022/12/15,13:30,USD,Retail Sales (MoM) ,-0.006,-0.001,0.013,USD-Retail Sales (MoM) 
2022/12/15,13:45,EUR,ECB Press Conference  ,,,,EUR-ECB Press Conference  
2022/12/16,10:00,EUR,CPI (YoY) ,0.101,0.1,0.106,EUR-CPI (YoY) 
2022/12/16,14:45,USD,S&P Global US Manufacturing PMI   ,46.2,47.7,47.7,USD-S&P Global US Manufacturing PMI   
2022/12/16,14:45,USD,S&P Global Services PMI   ,44.4,46.8,46.2,USD-S&P Global Services PMI   
2022/12/21,15:00,USD,CB Consumer Confidence ,108.3,101.0,101.4,USD-CB Consumer Confidence 
